Date,Title,ppc_Title,Tokens,Stop_tokens,Sentiment_Word,Pos_Word,Neg_Word,Zero_Word,Score
2023-11-06,"""네이버, 인터넷 업종 탑픽"" 목표주가 유지",네이버  인터넷 업종 탑픽  목표주가 유지,"['네이버', '인터넷', '업종', '탑', '목표', '주가', '유지']",인터넷 업종 탑 목표 주가 유지,"인터넷, 목표, 주가",목표,,"인터넷, 업종, 탑, 주가, 유지",1
2023-11-06,"네이버, 내년에도 견고한 성장세 기록할 전망에 목표주가 유지",네이버  내년에도 견고한 성장세 기록할 전망에 목표주가 유지,"['네이버', '내년', '성장세', '기록', '전망', '목표', '주가', '유지']",내년 성장세 기록 전망 목표 주가 유지,"내년, 성장세, 전망, 목표, 주가","성장세, 목표",,"내년, 기록, 전망, 주가, 유지",2
2023-11-06,"뉴트리원, 네이버 브랜드스토어 단독 '이효리 비비랩 더 콜라겐' 이벤트",뉴트리원  네이버 브랜드스토어 단독  이효리 비비랩 더 콜라겐  이벤트,"['뉴트리', '원', '네이버', '브랜드', '스토어', '단독', '이효리', '랩', '콜라겐', '이벤트']",뉴트리 브랜드 스토어 단독 이효리 랩 콜라겐 이벤트,"단독, 이벤트","단독, 이벤트",,"뉴트리, 브랜드, 스토어, 이효리, 랩, 콜라겐",2
2023-11-06,"네이버, 'AI·디지털트윈' 앞세워 B2B·해외시장 공략 속도 높인다",네이버   AI 디지털트윈  앞세워 B2B 해외시장 공략 속도 높인다,"['네이버', '디지털', '트윈', '해외', '시장', '공략', '속']",디지털 트윈 해외 시장 공략 속,"디지털, 해외, 시장, 공략",공략,,"디지털, 트윈, 해외, 시장, 속",1
2023-11-06,"네이버페이, 亞 유니온페이 가맹점 현장결제 시 포인트 제공",네이버페이  亞 유니온페이 가맹점 현장결제 시 포인트 제공,"['네이버페이', '유니온', '페이', '가맹점', '현장', '결제', '포인트', '제공']",네이버페이 유니온 페이 가맹점 현장 결제 포인트 제공,"페이, 제공",제공,,"네이버페이, 유니온, 페이, 가맹점, 현장, 결제, 포인트",1
2023-11-06,"[더벨][IR Briefing]네이버, 비용구조 '견고화'로 조정EBITDA '신기록'",네이버  비용구조  견고화 로 조정EBITDA  신기록,"['네이버', '비용', '구조', '견고', '조정', '기록']",비용 구조 견고 조정 기록,"비용, 조정",,"비용, 조정","구조, 견고, 기록",-3
2023-11-06,"""웹툰 원작 드라마 늘더니"" 네이버, 3분기 실적 '신기록'",웹툰 원작 드라마 늘더니  네이버  3분기 실적  신기록,"['웹툰', '원작', '드라마', '네이버', '분기', '실적', '기록']",웹툰 원작 드라마 분기 실적 기록,"분기, 실적",,,"웹툰, 원작, 드라마, 분기, 실적, 기록",0
2023-11-06,빅테크 '빅2' 실적 희비…네이버 '훨훨'-카카오 '휘청',빅테크  빅2  실적 희비 네이버  훨훨  카카오  휘청,"['빅', '테크', '빅', '실적', '희비', '네이버', '카카오']",빅 테크 빅 실적 희비 카카오,"테크, 실적, 희비, 카카오",,,"빅, 테크, 빅, 실적, 희비, 카카오",0
2023-11-06,“차라리 집에서 해 먹는다”…붕어빵 ‘1마리 1000원’에 간편식 인기,차라리 집에서 해 먹는다  붕어빵  1마리 1000원 에 간편식 인기,"['집', '붕어빵', '간', '편식', '인기']",집 붕어빵 간 편식 인기,인기,인기,,"집, 붕어빵, 간, 편식",1
2023-11-06,"우주최강 토크쇼 강연자, 하정우 네이버클라우드 AI이노베이션 센터장",우주최강 토크쇼 강연자  하정우 네이버클라우드 AI이노베이션 센터장,"['우주', '최강', '토크쇼', '강연자', '하정우', '네이버클라우드', '이노베이션', '센터장']",우주 최강 토크쇼 강연자 하정우 네이버클라우드 이노베이션 센터장,,,,"우주, 최강, 토크쇼, 강연자, 하정우, 네이버클라우드, 이노베이션, 센터장",0
